,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55
10,0.0,-0.03694624000860388,0.01957000499690649,0.07598107514261229,0.05486298058425066,0.05490776709728957,0.00017071110345746296,0.055440019985296116,-0.018262256296118218,8.870120635940204e-05,-0.0004999025657103065,0.0022835288287845583,0.01792885563977354,0.07507070370548669,0.05609665747224569,-0.07338195019708935,0.018170395031450265,0.02342114589070542,-0.001829848296085279,0.11211745145644661,0.052166502085756385,-0.02451271645774111,0.061251411951917814,0.04568829913817828,0.07677950565263593,0.06590546209594432,-0.0105344992281243,-0.004627008416616045,0.07197998442809936,-0.0003802748792681253,0.06026015205206335,0.05481854095136565,0.05507351652876193,-0.0001560364119104488,-0.0001416715956311329,0.05505918846654841,-0.0001243931104199973,0.052563069142978404,0.027841676063849366,-0.016026738510825884,-0.016026738740228273,-0.01602673883895621,-0.01602673932569847,-0.016026738860902057,0.003229714096523682,0.00322971358549512,0.003229713552967227,0.0032297131690954433,0.003229713586790178,0.05869972599066121,0.05869972525708545,0.0586997252713225,0.05869972495500617,0.05869972534692866,
11,0.0,-0.027665058982439476,0.014746539202852368,0.05643171126760078,0.04074328728352245,0.04076936624065217,0.00020658330474182537,0.041243664048188265,-0.013819199552006911,5.869152785774464e-05,-0.00036537362495192826,0.0017032328622309807,0.013262418220507085,0.05549011860927882,0.041652722085213874,-0.05511115268186875,0.01354912062875409,0.017467457528350244,-0.0012472368665068434,0.0824219972994674,0.03887983330994517,-0.018087323166434556,0.045470950997873606,0.03398758613280009,0.05683622903769284,0.04891943024360378,-0.00781940648328899,-0.0034292509837912807,0.053347096521646736,-0.00028234679302052663,0.04476516747382718,0.04070171362693182,0.04088451265329265,-0.00011583557874099475,-0.00010517353619391745,0.040874598200873996,-9.092913483919247e-05,0.03897955351867589,0.020349193636718547,-0.012120243292858766,-0.012120242996828465,-0.0121202431074774,-0.012120243298535194,-0.012120243068806746,0.0024488603770162314,0.002448860404076557,0.0024488603610039157,0.002448860279246527,0.00244886045594386,0.04360196049159718,0.043601960331893334,0.043601960335772544,0.043601960337347055,0.043601960473387706,
12,0.0,-0.018414275950882495,0.009876869767373031,0.03726001891067975,0.026899578365206817,0.02691248411986272,0.00018907632301750474,0.02727643023615878,-0.009296370976590163,3.4036012505475216e-05,-0.0002372932548122347,0.0011293431639375726,0.00872047340005858,0.036466863438850694,0.027495764246128544,-0.036789508869306584,0.008981382938773761,0.011580747115515861,-0.0007498114366094348,0.05387531671653739,0.02575847102223196,-0.011860298132122877,0.03001140022594303,0.02247585288696014,0.037407411982802154,0.03228246621815859,-0.005160110556139268,-0.0022596349609871696,0.035151979388338854,-0.00018637397417258625,0.029564090194827704,0.02686674795507086,0.026983373973882042,-7.645033620611398e-05,-6.941469443999055e-05,0.026977297143312883,-5.9062103510539934e-05,0.02569855977191486,0.013215859210736817,-0.008147511397397356,-0.00814751115052681,-0.008147511154063692,-0.008147511483107692,-0.008147511157208414,0.0016503638322331582,0.0016503638043788385,0.0016503638689797629,0.0016503636486493425,0.0016503639216923268,0.02879290272933603,0.02879290251241076,0.028792902626167887,0.02879290248572189,0.02879290271901837,
13,0.0,-0.00919243007197388,0.004961873573786926,0.018452908592533106,0.013320678467030831,0.013324607930280799,0.00011989488796085133,0.013530040810831504,-0.004691924770893183,1.4525706495746561e-05,-0.0001154322419144319,0.0005616127449290471,0.0043003496960775265,0.017976148773877678,0.013613762820391423,-0.01841694718592296,0.004465148479333315,0.0057584224878570655,-0.00033490108147766687,0.026419100500992613,0.012798650972693268,-0.005831413010544078,0.014857536740179159,0.011147925494615353,0.01846655850704408,0.01597787119661388,-0.0025539412181779146,-0.0011167601765955143,0.01737284425063132,-9.227275915041861e-05,0.01464428601658188,0.013301583425362293,0.013357135809464718,-3.784395252963602e-05,-3.436181792785519e-05,0.013354362238920345,-2.873520013801474e-05,0.01270673198133652,0.006428906950609096,-0.004108999198964039,-0.004108998863835273,-0.004108998868556326,-0.004108999175736031,-0.004108998896922027,0.0008344146205359795,0.0008344146801146828,0.000834414743582804,0.0008344145467463328,0.0008344147710512823,0.014261998309615996,0.014261998183945124,0.014261998294826146,0.014261998180581426,0.014261998360759918,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
slope,0.0,1.1334275863756734e-05,3.273691566545873e-06,-7.706527657153306e-05,-6.867390754145587e-05,-6.662974445480233e-05,1.1550710014079604e-05,-3.788655808630301e-05,-1.2546380046714408e-05,-1.2114531315497925e-06,-2.2706021062597026e-05,-1.7597746127474885e-06,0.002777643974901473,0.0024470268738796346,-0.0002430311517759572,2.571062689049558e-06,-1.4136973598660603e-05,-1.806348982600567e-05,1.8003527119561335e-05,-0.00025543989891652026,-5.014006975700881e-05,-2.6115983976353488e-05,-7.795194636508131e-05,-4.882809122654404e-05,-0.0001209770136156837,-8.56633158316454e-05,1.3691509155978663e-05,6.733673895579977e-06,-0.00010475435022926414,3.136048933434022e-07,-7.0222916829384e-05,-4.520772644928466e-05,-4.451636394557679e-05,1.2612548045484965e-07,1.1985368965103886e-07,-4.6579885274159e-05,-5.603405677369948e-06,0.00010810936704308275,0.0012645937961623794,-9.767459330840622e-06,-9.767190769116993e-06,-9.76716450822745e-06,-9.767251975736739e-06,-9.767175663911402e-06,2.6737497344565513e-06,2.6737804635851665e-06,2.6737897023903118e-06,2.6737346253343917e-06,2.6738070066656823e-06,-5.149246990351511e-05,-5.149252594012407e-05,-5.1492523266227875e-05,-5.149257015021078e-05,-5.14924956173993e-05,
intercept,0.0,-0.005639196759103253,0.002796367120329799,0.012571594843153615,0.009206473413207922,0.009200858060704942,-0.00016511760057942254,0.008935464787382882,-0.0024490469081513877,3.257883273245935e-05,0.000134870688154895,0.00036548887080830786,-0.024007263847481294,-0.011728303057204383,0.011090903526448152,-0.010847782747621198,0.002913322666690275,0.003750562131753407,-0.0005702820033351966,0.020680478229393746,0.0084824887706662,-0.0037019198953428447,0.010300255794735768,0.007534393898861412,0.013293519099849294,0.011116165720491327,-0.0017768244991919879,-0.0007921086906982991,0.01232242092233254,-6.230211386095335e-05,0.010049484109839421,0.008981163807262315,0.00902065540618356,-2.5557668959330783e-05,-2.3254609605705086e-05,0.009037661505489009,3.312299825599638e-05,0.007200202508539514,-0.007511515788971499,-0.002170778218178498,-0.0021707809859372175,-0.0021707813223019335,-0.0021707807331561423,-0.002170781263682144,0.000423881647129803,0.0004238809841614841,0.00042388087172448775,0.0004238812551197194,0.00042388070382146185,0.009629937351202156,0.009629937383321886,0.009629937374901937,0.009629937762297211,0.009629937140768164,
rvalue,0.0,0.002087134405381087,0.0011148345991830357,-0.007082154299579159,-0.008756317232945779,-0.008490377885520851,0.1370620548920002,-0.004741812135070652,-0.004506154144363124,-0.14071029476722405,-0.2189884530309437,-0.005313806224017809,0.3547394686528186,0.1736675501646006,-0.030927856816825673,0.0002361226152427387,-0.005368920674200992,-0.005319459405497591,0.09194903333617635,-0.01645548777733976,-0.006651337691530397,-0.007473693681149468,-0.008909855725963164,-0.007435870396123458,-0.011135646975403262,-0.009107994529279968,0.009107242782989584,0.010246865566729099,-0.010247056202956129,0.005755112128693225,-0.008140853389545077,-0.005755112139116874,-0.005642528648954192,0.005642528674489437,0.0059068927223232025,-0.00590689252772743,-0.21787219675456998,0.014107446266919892,0.2189884530500934,-0.00400699472404532,-0.004006884839221335,-0.004006874084123842,-0.004006909938730394,-0.004006878624720221,0.0053970324742424435,0.005397095085431831,0.0053971137861163355,0.005397002325291429,0.005397148623040713,-0.006117364011074134,-0.006117370772453839,-0.006117370462679477,-0.006117375999360531,-0.006117367163382531,
pvalue,1.0,0.9941100033386894,0.9968538635897791,0.980015487901579,0.9752925149428295,0.9760427080248488,0.6261901395968199,0.9866188160449194,0.9872837816571489,0.6169405147602384,0.43295270573140876,0.9850048321641236,0.1944944056689702,0.5359213455975802,0.9128722208209491,0.9993336450318335,0.9848493196187804,0.9849888809586955,0.7444896998386451,0.9535844729724635,0.9812309680452882,0.9789108574901291,0.9748594041629799,0.9790175649044915,0.9685815447922279,0.9743004917466931,0.9743026122612211,0.9710881726518567,0.9710876349733019,0.9837596450027406,0.9770287162006672,0.9837596449733296,0.9840773069468951,0.9840773068748455,0.9833313893280919,0.9833313898771499,0.43536016012958734,0.9602022923774538,0.4329527056901663,0.9886923049826206,0.9886926150581299,0.98869264540711,0.9886925442317611,0.9886926325943513,0.9847699987358205,0.9847698220708373,0.9847697693046124,0.9847700838047033,0.9847696710080508,0.9827375422672066,0.9827375231900327,0.9827375240640583,0.9827375084423611,0.982737533372996,
stderr,0.0,0.0015061587159181484,0.0008144330231642397,0.0030179413041440794,0.0021751136109460553,0.0021764755736351626,2.3152699365119745e-05,0.0022159719046546465,0.0007722115792000777,2.364103863893046e-06,2.8059289366535728e-05,9.18488085794423e-05,0.0020304431505001486,0.003848560669709911,0.002178374954395123,0.0030199753143081848,0.0007302835600811507,0.0009417949102082593,5.40748159414979e-05,0.00430474558690838,0.0020907141235984514,0.0009691417301696878,0.0024264278192093146,0.0018211857885242792,0.0030129283261172662,0.0026084494774735512,0.0004169411111172358,0.00018224959176776337,0.0028351658614360186,1.5112982260269838e-05,0.0023923397888958495,0.002178612582647223,0.002188100783863316,6.199411563280881e-06,5.62746848837081e-06,0.0021870569522825984,6.961747981608029e-06,0.0021252010546654386,0.0015627398193881715,0.0006760637940121207,0.0006760637454260825,0.0006760637423928979,0.0006760637470196223,0.0006760637484383357,0.0001374003129509634,0.00013740029804574166,0.0001374002967101614,0.0001374003040831678,0.00013740029903164502,0.0023345307440226326,0.002334530704173597,0.002334530701167947,0.0023345307137547693,0.0023345307067808895,
